SimulationTime(s),VehicleID,Speed(km/h),Acceleration(m/s^2),Distance(odometer),Latitude,Longitude,FuelConsumption(mg/s),EletricEnergyConsumption(Wh/s),NoiseEmission(dB),CO2Emission(g)
19.0,vehTest,22.402297640305328,2.5002504629315805,149.46280420277526,-5.82004644477625,-35.21983969773086,1970.1593560922224,0.0,69.47342362363739,2.7265980175613356
20.0,vehTest,30.494167892022375,2.2477417365880683,157.9334063950037,-5.8200719367094305,-35.21976759588612,2249.2318662401763,0.0,69.41280601702108,3.1888944274030995
21.0,vehTest,37.199633705646114,1.862629392673261,168.2666379799054,-5.820103922015842,-35.219679957312266,2277.068278604362,0.0,68.71178519197545,3.0546868533178912
22.0,vehTest,45.12572664760271,2.2016924838768315,180.80156204868393,-5.820142805059502,-35.219573675255,3006.30854047926,0.0,71.19111320001751,3.183673650280787
23.0,vehTest,50.893323618968736,1.6021102698238963,194.93859638728634,-5.820186657794618,-35.21945380907917,2635.542647503729,0.0,69.66858852680284,2.1219234010422534
24.0,vehTest,52.96517569351361,0.575514465151354,209.65114519104014,-5.820232295741917,-35.2193290631583,1474.2363288169606,0.0,66.59307580533948,1.8572423667435998
25.0,vehTest,51.47872420168832,-0.4129031921736903,223.95079080262022,-5.8202766528549645,-35.21920781816559,0.0,0.0,64.01381810224136,1.4121844118295357
26.0,vehTest,41.79558975413422,-2.6897595687650284,235.5606768454353,-5.820312666392837,-35.219109379303724,0.0,0.0,59.33929825750677,1.2413759469985834
27.0,vehTest,28.097756850081307,-3.8049535844591427,243.3656093037912,-5.820336877065383,-35.21904320218673,0.0,0.0,54.05142223792697,0.9337792110282217
28.0,vehTest,29.183576100967308,0.30161645857944475,251.47215822072658,-5.820358283163631,-35.21897333321131,869.5273555668349,0.0,61.45352345814214,2.193658447713482
29.0,vehTest,31.31785492132925,0.5928552278783172,260.17156236554024,-5.82034259492566,-35.21889961462195,1095.444699026576,0.0,62.878724249239255,4.251708917780938
30.0,vehTest,32.441038275831794,0.3119953762507066,269.18296188660463,-5.82026941843044,-35.21886523916232,901.3257423781248,0.0,62.08288799445671,3.947231040022251
31.0,vehTest,41.4149364113579,2.4927494820905842,280.6871108897596,-5.820171542828775,-35.218830127512085,3076.6272780985096,0.0,71.8899639295651,3.737723276588459
32.0,vehTest,48.12239951926791,1.8631841966416687,294.0544440895562,-5.820057815522019,-35.21878932928607,2802.012903169172,0.0,70.26113916118113,3.3642422676098414
33.0,vehTest,57.298453641036005,2.548903922713361,309.9706812120662,-5.819922402502649,-35.21874075162204,4185.626716088529,0.0,74.26939387294242,3.1570659049271956
34.0,vehTest,65.26652289264412,2.2133525698911427,328.1002709044674,-5.819768070009461,-35.218685848896165,4245.970568096691,0.0,74.03786431266104,3.8102194787112693
35.0,vehTest,70.30533510320397,1.399670058488848,347.62953065535737,-5.819601495256915,-35.21862788760591,3256.4526499783374,0.0,71.84208825542842,3.3249563361857524
36.0,vehTest,75.13418723025869,1.3413478130707546,368.5001382193181,-5.8194229871584175,-35.218566971802304,3391.5124413206768,0.0,72.36337819807872,3.5556421998252583
37.0,vehTest,82.54653159431693,2.0589845455717324,391.4297303288506,-5.819226868362631,-35.21850004643155,5129.77828196395,0.0,75.85702895789339,4.074151206965749
38.0,vehTest,88.29214400312443,1.5960034468909754,415.9553258852741,-5.819017850306408,-35.218426141237664,4582.5364792755445,0.0,75.04907275047061,2.794849375589154
39.0,vehTest,94.73341999193235,1.7892433302244193,442.27016477192194,-5.818794237181937,-35.21834508401962,5396.432428106991,0.0,76.5772526491433,2.3896413211242162
40.0,vehTest,102.31629160444766,2.1063532256986974,470.6913568842685,-5.818552725055963,-35.21825753873697,6660.567744370004,0.0,78.71073182991475,3.2787116904407356
41.0,vehTest,101.78087012131469,-0.1487281897591579,498.9638208068559,-5.818312476720073,-35.21817045168705,1318.903666039528,0.0,72.8328226251245,1.1249165138927164
42.0,vehTest,104.92845587202117,0.8743293751962469,528.1106141046396,-5.818064143389627,-35.218082834288644,3876.7144099899633,0.0,75.2402356555507,1.6251100268150873
43.0,vehTest,102.86763304731579,-0.5724507846403846,556.6849566177829,-5.817820228610607,-35.2179980041974,0.0,0.0,72.47064078884752,1.1249501347768112
44.0,vehTest,102.06418849942044,-0.2231790410820409,585.0361200898441,-5.817578218878534,-35.21791383677607,1150.3442888553993,0.0,72.77009275589278,1.1294888209241791
45.0,vehTest,105.97310803023869,1.0858109807828455,614.4730945426882,-5.817328306528134,-35.21782293180951,4445.934562493673,0.0,75.93181713423849,3.1793833285689663
46.0,vehTest,89.77310803023869,-4.5,639.4100689955321,-5.817117632938959,-35.21774958046649,0.0,0.0,69.42196397279717,1.211906894641311
47.0,vehTest,99.06633234795885,2.581451199366711,666.9284946477429,-5.816884581037511,-35.21766273593552,7500.346017792748,0.0,80.05940558360916,3.7464826139268106
48.0,vehTest,105.75601751308658,1.8582458792021477,696.3051661791559,-5.816635791716017,-35.2175700271387,6320.6579300078665,0.0,78.29516011559205,3.066374123887101
49.0,vehTest,105.69494163258703,-0.01696552236098725,725.6648721882079,-5.81639908327377,-35.21745592405183,1738.9779380810091,0.0,73.55571386812392,1.836404206084068
50.0,vehTest,102.10094589157731,-0.9983321502804756,754.0262460469794,-5.816156674512024,-35.21737260244623,0.0,0.0,71.9957423743609,1.4269847998709873
51.0,vehTest,104.49998902829134,0.6664008713094525,783.0540207770604,-5.815909018025739,-35.217286644462796,3353.8508052086972,0.0,74.68754273138211,1.697334745581494
52.0,vehTest,103.67157826967308,-0.23011409961618412,811.8516814075251,-5.81566469547835,-35.21719747480389,1170.8668219638669,0.0,72.9800158471216,0.5678671644647749
53.0,vehTest,105.41590568758318,0.484535393863915,841.1338774318538,-5.815416474634883,-35.21710569144174,2951.8128942727376,0.0,74.41654396505662,0.910081537020938
54.0,vehTest,104.72639872115808,-0.19152971289586063,870.2245437432866,-5.815169877313293,-35.2170145085336,1288.9228812828055,0.0,73.17421708238317,0.7264012884626051
55.0,vehTest,102.50295114042008,-0.617624327982778,898.6975857267366,-5.8149285154572325,-35.216925261642146,0.0,0.0,72.37526189506964,0.7901594397410303
